time, block_id, block_x, block_y, block_width, block_height
2021-07-21 13:45:55.280214, 1, 164, 103, 256, 207
2021-07-21 13:45:55.296916, 1, 163, 103, 246, 207
2021-07-21 13:45:55.309743, 1, 167, 103, 246, 206
2021-07-21 13:45:55.331282, 1, 165, 103, 234, 206
2021-07-21 13:45:55.346916, 1, 164, 103, 228, 206
2021-07-21 13:45:55.360638, 1, 168, 104, 228, 203
2021-07-21 13:45:55.380474, 1, 169, 103, 226, 206
2021-07-21 13:45:55.396882, 1, 169, 103, 222, 206
2021-07-21 13:45:55.407287, 1, 169, 103, 218, 206
2021-07-21 13:45:55.427092, 1, 170, 103, 216, 206
2021-07-21 13:45:55.443495, 1, 169, 103, 210, 206
2021-07-21 13:45:55.465468, 1, 171, 103, 210, 206
2021-07-21 13:45:55.478328, 1, 171, 103, 210, 205
2021-07-21 13:45:55.490501, 1, 171, 105, 206, 202
2021-07-21 13:45:55.516545, 1, 171, 106, 202, 200
2021-07-21 13:45:55.520989, 1, 170, 120, 196, 172
2021-07-21 13:45:55.537262, 1, 172, 109, 200, 194
2021-07-21 13:45:55.586129, 1, 180, 133, 176, 146
2021-07-21 13:45:55.606942, 1, 159, 154, 158, 103
2021-07-21 13:45:55.618752, 1, 171, 195, 126,  22
2021-07-21 13:45:55.647004, 1, 175, 188, 142,  37
2021-07-21 13:45:55.647004, 1, 177,  30,  62,   9
2021-07-21 13:45:55.664029, 1, 183, 199, 106,  16
2021-07-21 13:45:55.664029, 1, 180,  34,  68,  11
2021-07-21 13:45:55.680955, 1, 169, 194, 126,  25
2021-07-21 13:45:55.680955, 1, 193,  46,  94,  31
2021-07-21 13:45:55.680955, 1, 251,  89,  14,  18
2021-07-21 13:45:55.680955, 1, 259, 121,  18,  12
2021-07-21 13:45:55.716654, 1, 173, 190, 138,  33
2021-07-21 13:45:55.716654, 1, 173,  40,  66,   8
2021-07-21 13:45:55.716654, 1, 257, 108,  22,  22
2021-07-21 13:45:55.716654, 1, 245,  78,  14,  16
2021-07-21 13:45:55.746643, 1, 192,  56,  88,  28
2021-07-21 13:45:55.746643, 1, 237,  92,  34,  28
2021-07-21 13:45:55.746643, 1, 213, 203,  26,   5
2021-07-21 13:45:55.746643, 1, 233, 124,  14,   5
2021-07-21 13:45:55.786386, 1, 184,  56,  72,  14
2021-07-21 13:45:55.786386, 1, 227,  79,  34,  16
2021-07-21 13:45:55.786386, 1, 254, 127,  20,   5
2021-07-21 13:45:55.786386, 1, 172, 206,  28,   2
2021-07-21 13:45:55.808460, 1, 186,  65,  76,  18
2021-07-21 13:45:55.808460, 1, 103,  91,  10,  12
2021-07-21 13:45:55.808460, 1, 253, 127,  18,   5
2021-07-21 13:45:55.808460, 1, 244,  95,   8,   7
2021-07-21 13:45:55.875424, 1, 197,  82,  82,  30
2021-07-21 13:45:55.875424, 1, 246, 122,  20,  16
2021-07-21 13:45:55.875424, 1, 121,  82,  18,  11
2021-07-21 13:45:55.875424, 1, 238,  99,  12,  10
2021-07-21 13:45:55.896369, 1, 183,  76,  50,   8
2021-07-21 13:45:55.909903, 1, 198,  87,  32,  10
